,MSE,RMSE,MAE,R2,MAPE
ARIMA,0.2108,0.4591,0.4349,-8.7979,
Linear Regression,0.0012,0.0352,0.0256,0.9396,3.5325
LightGBM,0.0595,0.244,0.2176,-1.8981,26.951
